Sample	Unique Reads	Duplicate Reads
fastQC | 1	434989.0	1435205.0
fastQC | 10	535593.0	4209090.0
fastQC | 100	734232.0	4478188.0
fastQC | 101	1010327.0	8074272.0
fastQC | 102	639774.0	5018781.0
fastQC | 103	1071547.0	9023667.0
fastQC | 104	904696.0	6985058.0
fastQC | 105	546269.0	739693.0
fastQC | 106	455120.0	629935.0
fastQC | 107	489946.0	741786.0
fastQC | 108	1245020.0	9327925.0
fastQC | 109	217543.0	1217614.0
fastQC | 11	259303.0	1159760.0
fastQC | 110	430414.0	633089.0
fastQC | 111	658928.0	844822.0
fastQC | 112	837119.0	1145623.0
fastQC | 113	829345.0	5328989.0
fastQC | 114	1694917.0	14192397.0
fastQC | 115	1058889.0	6553519.0
fastQC | 116	1577856.0	10345064.0
fastQC | 117	746602.0	4669962.0
fastQC | 118	1124051.0	7191484.0
fastQC | 119	1729843.0	18555552.0
fastQC | 12	307374.0	1695748.0
fastQC | 120	1859551.0	12067719.0
fastQC | 121	606086.0	1165641.0
fastQC | 122	487986.0	780174.0
fastQC | 123	465886.0	3341370.0
fastQC | 124	403332.0	2970166.0
fastQC | 125	502665.0	782306.0
fastQC | 126	713672.0	6198764.0
fastQC | 127	639203.0	4975973.0
fastQC | 128	475170.0	3448384.0
fastQC | 129	479827.0	3812339.0
fastQC | 13	540993.0	5367640.0
fastQC | 130	692526.0	4532975.0
fastQC | 131	382318.0	587072.0
fastQC | 132	363815.0	2830362.0
fastQC | 133	359869.0	3011118.0
fastQC | 134	426959.0	3476481.0
fastQC | 135	418231.0	3468839.0
fastQC | 136	335687.0	2383283.0
fastQC | 137	329304.0	492293.0
fastQC | 138	364728.0	2653796.0
fastQC | 139	715960.0	2314308.0
fastQC | 14	445494.0	905011.0
fastQC | 140	612804.0	1888972.0
fastQC | 141	607773.0	1903525.0
fastQC | 142	635642.0	2033548.0
fastQC | 143	481364.0	1956846.0
fastQC | 144	535579.0	1703751.0
fastQC | 145	971572.0	3323833.0
fastQC | 146	746697.0	2400548.0
fastQC | 147	316265.0	2141975.0
fastQC | 148	370426.0	2414920.0
fastQC | 149	288043.0	1703363.0
fastQC | 15	341866.0	2535938.0
fastQC | 150	341216.0	2281242.0
fastQC | 151	123262.0	1148773.0
fastQC | 152	343201.0	2211181.0
fastQC | 153	492402.0	3806396.0
fastQC | 154	328536.0	715828.0
fastQC | 155	347330.0	2521867.0
fastQC | 156	313673.0	1793611.0
fastQC | 157	346955.0	2608965.0
fastQC | 158	322400.0	2468252.0
fastQC | 159	355802.0	2645515.0
fastQC | 16	392132.0	3374548.0
fastQC | 160	186594.0	2400902.0
fastQC | 161	346498.0	2640491.0
fastQC | 162	147792.0	1922276.0
fastQC | 163	711305.0	6253657.0
fastQC | 164	634430.0	4633436.0
fastQC | 165	698251.0	5109048.0
fastQC | 166	1523121.0	17785176.0
fastQC | 167	598772.0	5461273.0
fastQC | 168	663548.0	5383016.0
fastQC | 169	597926.0	5347229.0
fastQC | 17	487371.0	3660612.0
fastQC | 170	602748.0	5184515.0
fastQC | 171	350481.0	1400037.0
fastQC | 172	692280.0	4718708.0
fastQC | 173	415127.0	3650425.0
fastQC | 174	828709.0	5463664.0
fastQC | 175	375595.0	3041779.0
fastQC | 176	558526.0	4437524.0
fastQC | 177	513064.0	3144968.0
fastQC | 178	505131.0	1795360.0
fastQC | 179	341953.0	1763030.0
fastQC | 18	933177.0	7307746.0
fastQC | 180	374261.0	1931151.0
fastQC | 181	342574.0	1743873.0
fastQC | 182	361463.0	2930521.0
fastQC | 183	299552.0	1755398.0
fastQC | 184	351261.0	1798015.0
fastQC | 185	353791.0	2586628.0
fastQC | 186	506349.0	2799978.0
fastQC | 187	200534.0	1724970.0
fastQC | 188	271124.0	1728803.0
fastQC | 189	275637.0	1747037.0
fastQC | 19	672299.0	4753298.0
fastQC | 190	303580.0	1896591.0
fastQC | 191	350936.0	2358973.0
fastQC | 192	143671.0	1077741.0
fastQC | 193	191134.0	1725445.0
fastQC | 194	282584.0	1562407.0
fastQC | 195	300119.0	2017272.0
fastQC | 196	381423.0	3119904.0
fastQC | 197	366595.0	2902074.0
fastQC | 198	462524.0	3630525.0
fastQC | 199	440734.0	3415440.0
fastQC | 2	148997.0	573704.0
fastQC | 20	811918.0	6337206.0
fastQC | 200	375636.0	3378643.0
fastQC | 201	429474.0	2397119.0
fastQC | 202	356150.0	2891928.0
fastQC | 203	320374.0	2134410.0
fastQC | 204	152090.0	1583060.0
fastQC | 205	121941.0	1373531.0
fastQC | 206	350088.0	2861862.0
fastQC | 207	144842.0	1903692.0
fastQC | 208	413460.0	3420194.0
fastQC | 209	113453.0	1086636.0
fastQC | 21	675148.0	5028861.0
fastQC | 210	161728.0	2114179.0
fastQC | 211	377507.0	3331305.0
fastQC | 212	384959.0	984774.0
fastQC | 213	311934.0	2107858.0
fastQC | 214	418975.0	1193134.0
fastQC | 215	484877.0	4290561.0
fastQC | 216	367999.0	915960.0
fastQC | 217	696137.0	6776956.0
fastQC | 218	541106.0	4878917.0
fastQC | 219	704621.0	4955694.0
fastQC | 22	969778.0	7717760.0
fastQC | 220	682732.0	4449630.0
fastQC | 221	388828.0	3049447.0
fastQC | 222	531087.0	3990585.0
fastQC | 223	721870.0	4901851.0
fastQC | 224	705540.0	4955431.0
fastQC | 225	634872.0	1944788.0
fastQC | 226	781863.0	4891953.0
fastQC | 227	428449.0	3119107.0
fastQC | 228	301189.0	1621366.0
fastQC | 229	366564.0	2342127.0
fastQC | 23	560180.0	4408417.0
fastQC | 230	368924.0	2469152.0
fastQC | 231	120192.0	1208444.0
fastQC | 232	312582.0	1989237.0
fastQC | 233	429722.0	2776315.0
fastQC | 234	150309.0	1376262.0
fastQC | 235	539708.0	3977417.0
fastQC | 236	419596.0	3112014.0
fastQC | 237	400808.0	2795351.0
fastQC | 238	592717.0	1482064.0
fastQC | 239	244002.0	2294271.0
fastQC | 24	1134075.0	9207726.0
fastQC | 241	532968.0	4376760.0
fastQC | 242	381679.0	903186.0
fastQC | 243	434442.0	3568594.0
fastQC | 244	351988.0	2619110.0
fastQC | 245	406452.0	3094539.0
fastQC | 246	850226.0	7691381.0
fastQC | 247	511215.0	2905420.0
fastQC | 248	379727.0	3162668.0
fastQC | 249	338667.0	2366483.0
fastQC | 25	619283.0	1203257.0
fastQC | 250	333659.0	2469331.0
fastQC | 251	197472.0	1336998.0
fastQC | 252	223637.0	1367271.0
fastQC | 253	302555.0	1557256.0
fastQC | 254	419516.0	2714466.0
fastQC | 255	158489.0	1012884.0
fastQC | 256	313106.0	1782559.0
fastQC | 257	267464.0	1330204.0
fastQC | 258	112805.0	1065764.0
fastQC | 259	287435.0	2157964.0
fastQC | 26	474704.0	1082690.0
fastQC | 260	292111.0	2172629.0
fastQC | 261	309465.0	1807108.0
fastQC | 262	357385.0	2691922.0
