Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
fastQC | 1	76.74097097299014	52.0	132.6956406661555	9.090909090909092	1870194.0
fastQC | 10	88.71173879043027	46.0	135.97447816850988	9.090909090909092	4744683.0
fastQC | 100	85.9138020256372	48.0	134.7884372326098	9.090909090909092	5212420.0
fastQC | 101	88.87869222397653	50.0	133.58666904284934	9.090909090909092	9084599.0
fastQC | 102	88.69368907918238	45.0	134.12882122732748	9.090909090909092	5658555.0
fastQC | 103	89.38560369976102	48.0	134.0675659773037	9.090909090909092	10095214.0
fastQC | 104	88.53328204182668	44.0	134.0874096961705	9.090909090909092	7889754.0
fastQC | 105	57.520610837398266	48.0	133.4885066588282	9.090909090909092	1285962.0
fastQC | 106	58.05558354437029	49.0	132.96256871771476	18.181818181818183	1085055.0
fastQC | 107	60.22301044186898	49.0	133.58890570351343	18.181818181818183	1231732.0
fastQC | 108	88.22448026201107	51.0	133.9551019134215	9.090909090909092	10572945.0
fastQC | 109	84.8419102600817	58.0	132.82179928746473	9.090909090909092	1435157.0
fastQC | 11	81.72718789446321	42.0	134.443380596915	9.090909090909092	1419063.0
fastQC | 110	59.52870505796258	51.0	133.8045543830154	18.181818181818183	1063503.0
fastQC | 111	56.181025686737186	53.0	132.89866134663342	9.090909090909092	1503750.0
fastQC | 112	57.779731783061635	51.0	133.27547810052945	9.090909090909092	1982742.0
fastQC | 113	86.53296793699116	45.0	133.85647920362877	9.090909090909092	6158334.0
fastQC | 114	89.3316338555364	48.0	134.7453056570796	9.090909090909092	15887314.0
fastQC | 115	86.08997235050158	48.0	134.47302732591316	9.090909090909092	7612408.0
fastQC | 116	86.7661953429852	48.0	135.25692808473093	9.090909090909092	11922920.0
fastQC | 117	86.21633031821602	47.0	133.81397284330066	9.090909090909092	5416564.0
fastQC | 118	86.4825212502473	46.0	134.83594910008796	9.090909090909092	8315535.0
fastQC | 119	91.4724709728512	45.0	134.8868514022034	9.090909090909092	20285395.0
fastQC | 12	84.65526978595847	41.0	134.34000475258122	9.090909090909092	2003122.0
fastQC | 120	86.6481345325668	48.0	134.55129253615388	9.090909090909092	13927270.0
fastQC | 121	65.79127841320064	41.0	134.8559676519012	9.090909090909092	1771727.0
fastQC | 122	61.5202050768208	42.0	134.17962323366137	9.090909090909092	1268160.0
fastQC | 123	87.76321209698489	58.0	134.82450326429324	9.090909090909092	3807256.0
fastQC | 124	88.04412857000906	57.0	133.84237044160096	9.090909090909092	3373498.0
fastQC | 125	60.88125846546208	56.0	132.56196132052784	9.090909090909092	1284971.0
fastQC | 126	89.67554078235857	57.0	133.64339966402582	9.090909090909092	6912436.0
fastQC | 127	88.6165204664682	57.0	133.9259000964529	9.090909090909092	5615176.0
fastQC | 128	87.88931415926648	57.0	133.6233863481935	9.090909090909092	3923554.0
fastQC | 129	88.82088403135609	48.0	133.3534572055228	9.090909090909092	4292166.0
